company_name,website,country,industry,size,Annual_Revenue_USD,Primary_Domain,Founded_Year,Headquarters_City,People_Name,job_title,email,phone,Role_Function,Company_Name.1,Department,person_name,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
,,,,,,,,,Emma Martinez,Cloud Solutions Engineer,emma.martinez@cloudfirst.co.uk,-9025,Engineering,CloudFirst Industries,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,emma.martinez@cloudfirst.co.uk,,0.0,0.0,Phone Formatting;Role Function Mapping,,9025,True,fuzzy_10,Engineering,0.95
,,,,,,,,,James Taylor,Technical Support Lead,james.taylor@cloudfirst.co.uk,-9026,Customer Support,CloudFirst Industries,Support,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,james.taylor@cloudfirst.co.uk,,0.0,0.0,Phone Formatting;Role Function Mapping,,9026,True,fuzzy_10,Management,0.95
,,,,,,,,,Sophie Robinson,Business Analyst,sophie.robinson@cloudfirst.co.uk,-9027,Analysis,CloudFirst Industries,Business,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,sophie.robinson@cloudfirst.co.uk,,0.0,0.0,Phone Formatting,,9027,True,fuzzy_10,Other,0.0
,,,,,,,,,Klaus Mueller,Chief Technology Officer,klaus.mueller@dataviz.de,-1737,Executive Leadership,DataViz Analytics,Technology,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,klaus.mueller@dataviz.de,,0.0,0.0,Phone Formatting;Role Function Mapping,,1737,True,fuzzy_10,Management,0.95
,,,,,,,,,Hannah Schmidt,Senior Data Analyst,hannah.schmidt@dataviz.de,-1738,Data Analysis,DataViz Analytics,Analytics,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,hannah.schmidt@dataviz.de,,0.0,0.0,Phone Formatting,,1738,True,fuzzy_10,Other,0.0
,,,,,,,,,Stefan Weber,BI Developer,stefan.weber@dataviz.de,-1739,Development,DataViz Analytics,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,stefan.weber@dataviz.de,,0.0,0.0,Phone Formatting;Role Function Mapping,,1739,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Brigitte Fischer,Analytics Consultant,brigitte.fischer@dataviz.de,-1740,Consulting,DataViz Analytics,Consulting,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,brigitte.fischer@dataviz.de,,0.0,0.0,Phone Formatting,,1740,True,fuzzy_10,Other,0.0
,,,,,,,,,Thomas Beck,Account Executive,thomas.beck@dataviz.de,-1741,Sales,DataViz Analytics,Sales,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,thomas.beck@dataviz.de,,0.0,0.0,Phone Formatting;Role Function Mapping,,1741,True,fuzzy_10,Management,0.95
,,,,,,,,,Francoise Dubois,Director of Security,francoise.dubois@securelink.fr,-5824,Executive Leadership,SecureLink Security,Security,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,francoise.dubois@securelink.fr,,0.0,0.0,Phone Formatting;Role Function Mapping,,5824,True,fuzzy_10,Management,0.95
,,,,,,,,,Laurent Martin,Security Engineer,laurent.martin@securelink.fr,-5825,Security Engineering,SecureLink Security,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,laurent.martin@securelink.fr,,0.0,0.0,Phone Formatting;Role Function Mapping,,5825,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Isabelle Lefevre,Penetration Tester,isabelle.lefevre@securelink.fr,-5826,Security Testing,SecureLink Security,Security,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,isabelle.lefevre@securelink.fr,,0.0,0.0,Phone Formatting,,5826,True,fuzzy_10,Other,0.0
,,,,,,,,,Michel Bernard,Network Administrator,michel.bernard@securelink.fr,-5827,Network Management,SecureLink Security,Operations,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,michel.bernard@securelink.fr,,0.0,0.0,Phone Formatting;Role Function Mapping,,5827,True,fuzzy_10,Admin,0.95
,,,,,,,,,Anne Rousseau,Compliance Officer,anne.rousseau@securelink.fr,-5828,Compliance,SecureLink Security,Compliance,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,anne.rousseau@securelink.fr,,0.0,0.0,Phone Formatting,,5828,True,fuzzy_10,Other,0.0
,,,,,,,,,Rajesh Kumar,Chief Executive Officer,rajesh.kumar@innovatepro.in,-1945,Executive Leadership,InnovatePro Tech,Management,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,rajesh.kumar@innovatepro.in,,0.0,0.0,Phone Formatting;Role Function Mapping,,1945,True,fuzzy_10,Management,0.95
,,,,,,,,,Priya Singh,Machine Learning Engineer,priya.singh@innovatepro.in,-1946,AI/ML Development,InnovatePro Tech,Research,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,priya.singh@innovatepro.in,,0.0,0.0,Phone Formatting;Role Function Mapping,,1946,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Amit Patel,Data Scientist,amit.patel@innovatepro.in,-1947,Data Science,InnovatePro Tech,Research,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,amit.patel@innovatepro.in,,0.0,0.0,Phone Formatting;Role Function Mapping,,1947,True,fuzzy_10,RND,0.95
,,,,,,,,,Neha Sharma,AI Researcher,neha.sharma@innovatepro.in,-1948,Research,InnovatePro Tech,Research,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,neha.sharma@innovatepro.in,,0.0,0.0,Phone Formatting;Role Function Mapping,,1948,True,fuzzy_10,RND,0.95
,,,,,,,,,Arjun Desai,Product Lead,arjun.desai@innovatepro.in,-1949,Product Management,InnovatePro Tech,Product,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,arjun.desai@innovatepro.in,,0.0,0.0,Phone Formatting;Role Function Mapping,,1949,True,fuzzy_10,Management,0.95
,,,,,,,,,Gregory Thompson,Founder & CEO,gregory.thompson@greenwave.au,-1997,Executive Leadership,GreenWave Energy,Management,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,gregory.thompson@greenwave.au,,0.0,0.0,Phone Formatting;Role Function Mapping,,1997,True,fuzzy_10,Management,0.95
,,,,,,,,,Michelle Harris,Solar Engineer,michelle.harris@greenwave.au,-1998,Engineering,GreenWave Energy,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,michelle.harris@greenwave.au,,0.0,0.0,Phone Formatting;Role Function Mapping,,1998,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Andrew Jackson,Operations Manager,andrew.jackson@greenwave.au,-1999,Operations,GreenWave Energy,Operations,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,andrew.jackson@greenwave.au,,0.0,0.0,Phone Formatting;Role Function Mapping,,1999,True,fuzzy_10,Operations,0.95
,,,,,,,,,Victoria King,Environmental Specialist,victoria.king@greenwave.au,-2000,Environmental,GreenWave Energy,Consulting,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,victoria.king@greenwave.au,,0.0,0.0,Phone Formatting,,2000,True,fuzzy_10,Other,0.0
,,,,,,,,,William Green,Business Development Manager,william.green@greenwave.au,-2001,Business Development,GreenWave Energy,Sales,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,william.green@greenwave.au,,0.0,0.0,Phone Formatting;Role Function Mapping,,2001,True,fuzzy_10,Development,0.95
,,,,,,,,,Ingrid Bergstrom,Chief Science Officer,ingrid.bergstrom@quantumdrive.se,-2118,Executive Leadership,QuantumDrive Systems,Research,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,ingrid.bergstrom@quantumdrive.se,,0.0,0.0,Phone Formatting;Role Function Mapping,,2118,True,fuzzy_10,Management,0.95
,,,,,,,,,Erik Svensson,Quantum Researcher,erik.svensson@quantumdrive.se,-2119,Research,QuantumDrive Systems,Research,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,erik.svensson@quantumdrive.se,,0.0,0.0,Phone Formatting;Role Function Mapping,,2119,True,fuzzy_10,RND,0.95
,,,,,,,,,Karin Lindberg,Hardware Engineer,karin.lindberg@quantumdrive.se,-2120,Engineering,QuantumDrive Systems,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,karin.lindberg@quantumdrive.se,,0.0,0.0,Phone Formatting;Role Function Mapping,,2120,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Anders Nilsson,Software Developer,anders.nilsson@quantumdrive.se,-2121,Development,QuantumDrive Systems,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,anders.nilsson@quantumdrive.se,,0.0,0.0,Phone Formatting;Role Function Mapping,,2121,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Sofia Eklund,Project Coordinator,sofia.eklund@quantumdrive.se,-2122,Administration,QuantumDrive Systems,Administration,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,sofia.eklund@quantumdrive.se,,0.0,0.0,Phone Formatting,,2122,True,fuzzy_10,Other,0.0
,,,,,,,,,Elena Rossi,Chief Executive Officer,elena.rossi@blockchaindyn.ch,-2259,Executive Leadership,BlockChain Dynamics,Management,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,elena.rossi@blockchaindyn.ch,,0.0,0.0,Phone Formatting;Role Function Mapping,,2259,True,fuzzy_10,Management,0.95
,,,,,,,,,Marco Bianchi,Blockchain Developer,marco.bianchi@blockchaindyn.ch,-2260,Development,BlockChain Dynamics,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,marco.bianchi@blockchaindyn.ch,,0.0,0.0,Phone Formatting;Role Function Mapping,,2260,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Sophia Romano,Smart Contract Engineer,sophia.romano@blockchaindyn.ch,-2261,Development,BlockChain Dynamics,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,sophia.romano@blockchaindyn.ch,,0.0,0.0,Phone Formatting;Role Function Mapping,,2261,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Giovanni Russo,Security Auditor,giovanni.russo@blockchaindyn.ch,-2262,Security,BlockChain Dynamics,Security,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,giovanni.russo@blockchaindyn.ch,,0.0,0.0,Phone Formatting;Role Function Mapping,,2262,True,fuzzy_10,Account,0.95
,,,,,,,,,Giulia Ferrari,Compliance Manager,giulia.ferrari@blockchaindyn.ch,-2263,Compliance,BlockChain Dynamics,Compliance,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,giulia.ferrari@blockchaindyn.ch,,0.0,0.0,Phone Formatting;Role Function Mapping,,2263,True,fuzzy_10,Management,0.95
,,,,,,,,,Hiroshi Tanaka,President,hiroshi.tanaka@venturelabs.jp,-7278,Executive Leadership,VentureLabs Japan,Management,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,hiroshi.tanaka@venturelabs.jp,,0.0,0.0,Phone Formatting;Role Function Mapping,,7278,True,fuzzy_10,Management,0.95
,,,,,,,,,Yuki Yamamoto,VP of Hardware Development,yuki.yamamoto@venturelabs.jp,-7279,Technical Leadership,VentureLabs Japan,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,yuki.yamamoto@venturelabs.jp,,0.0,0.0,Phone Formatting;Role Function Mapping,,7279,True,fuzzy_10,Development,0.95
,,,,,,,,,Sakura Nakamura,IoT Solutions Engineer,sakura.nakamura@venturelabs.jp,-7280,Engineering,VentureLabs Japan,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,sakura.nakamura@venturelabs.jp,,0.0,0.0,Phone Formatting;Role Function Mapping,,7280,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Kenji Suzuki,Firmware Engineer,kenji.suzuki@venturelabs.jp,-7281,Engineering,VentureLabs Japan,Engineering,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,kenji.suzuki@venturelabs.jp,,0.0,0.0,Phone Formatting;Role Function Mapping,,7281,True,fuzzy_10,Engineering,0.95
,,,,,,,,,Tomoe Watanabe,Customer Success Manager,tomoe.watanabe@venturelabs.jp,-7282,Customer Success,VentureLabs Japan,Sales,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country,True,tomoe.watanabe@venturelabs.jp,,0.0,0.0,Phone Formatting;Role Function Mapping,,7282,True,fuzzy_10,Management,0.95
