company_name,website,country,industry,size,Annual_Revenue_USD,Primary_Domain,Founded_Year,Headquarters_City,People_Name,job_title,email,phone,Role_Function,Company_Name.1,Department,person_name,linkedin_url,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,change_history,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
,,,,,,,,,Oliver Wilson,Managing Director,oliver.wilson@cloudfirst.co.uk,-9023,Executive Leadership,CloudFirst Industries,Management,,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country;missing_linkedin_url,True,oliver.wilson@cloudfirst.co.uk,,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-9023"", ""new"": ""9023""}]",,9023,False,,Management,0.95
Acme Corporation,www.acmecorp.com,United States,Software Development,500-1000,75000000.0,Cloud Computing,2010.0,New York,Sarah Thompson,Infrastructure Manager,sarah.thompson@cloudfirst.co.uk,-9024,Infrastructure,CloudFirst Industries,Operations,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,sarah.thompson@cloudfirst.co.uk,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,"[{""field"": ""industry"", ""old"": ""Software Development"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-9024"", ""new"": ""9024""}]",Technology,9024,True,fuzzy_0,Management,0.95
TechFlow Solutions,www.techflow.com,Canada,IT Services,100-250,18000000.0,Software Consulting,2015.0,Toronto,Emma Martinez,Cloud Solutions Engineer,emma.martinez@cloudfirst.co.uk,-9025,Engineering,CloudFirst Industries,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,emma.martinez@cloudfirst.co.uk,Canada,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,"[{""field"": ""industry"", ""old"": ""IT Services"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-9025"", ""new"": ""9025""}]",Technology,9025,True,fuzzy_1,Engineering,0.95
CloudFirst Industries,www.cloudfirst.co.uk,United Kingdom,Cloud Services,250-500,45000000.0,Infrastructure,2012.0,London,James Taylor,Technical Support Lead,james.taylor@cloudfirst.co.uk,-9026,Customer Support,CloudFirst Industries,Support,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,james.taylor@cloudfirst.co.uk,United Kingdom,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-9026"", ""new"": ""9026""}]",Cloud Services,9026,True,fuzzy_2,Management,0.95
DataViz Analytics,www.dataviz.de,Germany,Data Analytics,50-100,8500000.0,Business Intelligence,2018.0,Berlin,Sophie Robinson,Business Analyst,sophie.robinson@cloudfirst.co.uk,-9027,Analysis,CloudFirst Industries,Business,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,sophie.robinson@cloudfirst.co.uk,Germany,0.0,0.0,Phone Formatting,"[{""field"": ""phone"", ""old"": ""-9027"", ""new"": ""9027""}]",Data Analytics,9027,True,email_13,Other,0.0
SecureLink Security,www.securelink.fr,France,Cybersecurity,75-150,12000000.0,Network Security,2017.0,Paris,Klaus Mueller,Chief Technology Officer,klaus.mueller@dataviz.de,-1737,Executive Leadership,DataViz Analytics,Technology,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,klaus.mueller@dataviz.de,France,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,"[{""field"": ""industry"", ""old"": ""Cybersecurity"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-1737"", ""new"": ""1737""}]",Technology,1737,True,email_3,Management,0.95
InnovatePro Tech,www.innovatepro.in,India,AI & Machine Learning,200-500,22000000.0,Artificial Intelligence,2019.0,Bangalore,Hannah Schmidt,Senior Data Analyst,hannah.schmidt@dataviz.de,-1738,Data Analysis,DataViz Analytics,Analytics,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,hannah.schmidt@dataviz.de,India,0.0,0.0,Phone Formatting,"[{""field"": ""phone"", ""old"": ""-1738"", ""new"": ""1738""}]",AI & Machine Learning,1738,True,email_16,Other,0.0
GreenWave Energy,www.greenwave.au,Australia,Renewable Energy,100-250,16000000.0,Solar Solutions,2014.0,Sydney,Stefan Weber,BI Developer,stefan.weber@dataviz.de,-1739,Development,DataViz Analytics,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,stefan.weber@dataviz.de,Australia,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1739"", ""new"": ""1739""}]",Renewable Energy,1739,True,email_14,Engineering,0.95
QuantumDrive Systems,www.quantumdrive.se,Sweden,Quantum Computing,30-75,5500000.0,Advanced Computing,2020.0,Stockholm,Brigitte Fischer,Analytics Consultant,brigitte.fischer@dataviz.de,-1740,Consulting,DataViz Analytics,Consulting,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,brigitte.fischer@dataviz.de,Sweden,0.0,0.0,Phone Formatting,"[{""field"": ""phone"", ""old"": ""-1740"", ""new"": ""1740""}]",Quantum Computing,1740,True,email_9,Other,0.0
BlockChain Dynamics,www.blockchaindyn.ch,Switzerland,Blockchain,80-150,14000000.0,Cryptocurrency,2016.0,Zurich,Thomas Beck,Account Executive,thomas.beck@dataviz.de,-1741,Sales,DataViz Analytics,Sales,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,thomas.beck@dataviz.de,Switzerland,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1741"", ""new"": ""1741""}]",Blockchain,1741,True,email_2,Management,0.95
VentureLabs Japan,www.venturelabs.jp,Japan,IoT & Hardware,300-750,88000000.0,Internet of Things,2013.0,Tokyo,Francoise Dubois,Director of Security,francoise.dubois@securelink.fr,-5824,Executive Leadership,SecureLink Security,Security,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,francoise.dubois@securelink.fr,Japan,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-5824"", ""new"": ""5824""}]",IoT & Hardware,5824,True,email_0,Management,0.95
,,,,,,,,,Laurent Martin,Security Engineer,laurent.martin@securelink.fr,-5825,Security Engineering,SecureLink Security,Engineering,,,missing_company_name;missing_person_name;missing_industry;missing_company_size;invalid_phone_format;missing_country;missing_linkedin_url,True,laurent.martin@securelink.fr,,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-5825"", ""new"": ""5825""}]",,5825,False,,Engineering,0.95
Acme Corporation,www.acmecorp.com,United States,Software Development,500-1000,75000000.0,Cloud Computing,2010.0,New York,Maria Garcia,Product Manager,maria.garcia@acmecorp.com,-870,Product Management,Acme Corporation,Product,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,maria.garcia@acmecorp.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,"[{""field"": ""industry"", ""old"": ""Software Development"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-870"", ""new"": ""870""}]",Technology,870,True,email_13,Management,0.95
TechFlow Solutions,www.techflow.com,Canada,IT Services,100-250,18000000.0,Software Consulting,2015.0,Toronto,David Kim,Cloud Architect,david.kim@acmecorp.com,-871,Technical Architecture,Acme Corporation,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,david.kim@acmecorp.com,Canada,0.0,0.0,Industry Standardization;Phone Formatting,"[{""field"": ""industry"", ""old"": ""IT Services"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-871"", ""new"": ""871""}]",Technology,871,True,email_3,Other,0.0
CloudFirst Industries,www.cloudfirst.co.uk,United Kingdom,Cloud Services,250-500,45000000.0,Infrastructure,2012.0,London,Patricia Lee,Chief Financial Officer,patricia.lee@techflow.com,-1171,Executive Leadership,TechFlow Solutions,Finance,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,patricia.lee@techflow.com,United Kingdom,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1171"", ""new"": ""1171""}]",Cloud Services,1171,True,email_16,Management,0.95
DataViz Analytics,www.dataviz.de,Germany,Data Analytics,50-100,8500000.0,Business Intelligence,2018.0,Berlin,Michael Chen,Solutions Architect,michael.chen@techflow.com,-1172,Technical Consulting,TechFlow Solutions,Consulting,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,michael.chen@techflow.com,Germany,0.0,0.0,Phone Formatting,"[{""field"": ""phone"", ""old"": ""-1172"", ""new"": ""1172""}]",Data Analytics,1172,True,email_14,Other,0.0
SecureLink Security,www.securelink.fr,France,Cybersecurity,75-150,12000000.0,Network Security,2017.0,Paris,Jennifer White,Project Manager,jennifer.white@techflow.com,-1173,Project Management,TechFlow Solutions,Operations,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,jennifer.white@techflow.com,France,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,"[{""field"": ""industry"", ""old"": ""Cybersecurity"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-1173"", ""new"": ""1173""}]",Technology,1173,True,email_9,Management,0.95
InnovatePro Tech,www.innovatepro.in,India,AI & Machine Learning,200-500,22000000.0,Artificial Intelligence,2019.0,Bangalore,Christopher Brown,DevOps Engineer,christopher.brown@techflow.com,-1174,Infrastructure,TechFlow Solutions,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,christopher.brown@techflow.com,India,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1174"", ""new"": ""1174""}]",AI & Machine Learning,1174,True,email_2,Engineering,0.95
GreenWave Energy,www.greenwave.au,Australia,Renewable Energy,100-250,16000000.0,Solar Solutions,2014.0,Sydney,Amanda Davis,Sales Manager,amanda.davis@techflow.com,-1175,Sales,TechFlow Solutions,Sales,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,amanda.davis@techflow.com,Australia,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1175"", ""new"": ""1175""}]",Renewable Energy,1175,True,email_0,Sales,0.95
QuantumDrive Systems,www.quantumdrive.se,Sweden,Quantum Computing,30-75,5500000.0,Advanced Computing,2020.0,Stockholm,Maria Garcia,Product Manager,maria.garcia@acmecorp.com,-870,Product Management,Acme Corporation,Product,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,maria.garcia@acmecorp.com,Sweden,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-870"", ""new"": ""870""}]",Quantum Computing,870,True,email_13,Management,0.95
BlockChain Dynamics,www.blockchaindyn.ch,Switzerland,Blockchain,80-150,14000000.0,Cryptocurrency,2016.0,Zurich,David Kim,Cloud Architect,david.kim@acmecorp.com,-871,Technical Architecture,Acme Corporation,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,david.kim@acmecorp.com,Switzerland,0.0,0.0,Phone Formatting,"[{""field"": ""phone"", ""old"": ""-871"", ""new"": ""871""}]",Blockchain,871,True,email_3,Other,0.0
VentureLabs Japan,www.venturelabs.jp,Japan,IoT & Hardware,300-750,88000000.0,Internet of Things,2013.0,Tokyo,Patricia Lee,Chief Financial Officer,patricia.lee@techflow.com,-1171,Executive Leadership,TechFlow Solutions,Finance,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,patricia.lee@techflow.com,Japan,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1171"", ""new"": ""1171""}]",IoT & Hardware,1171,True,email_16,Management,0.95
