company_name,website,country,industry,size,Annual_Revenue_USD,Primary_Domain,Founded_Year,Headquarters_City,person_name,email,phone,job_title,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Victoria Bradford,Senior Investment Analyst,victoria.b@globalfinance.co.uk,+44-20-7946-0959,Financial Analysis,GlobalFinance Corp,Investment,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,victoria.b@globalfinance.co.uk,0.0,0.0,,+44-20-7946-0959,,True,email_match_0,Other,0.0
Robert Sterling,Head of Risk Management,robert.s@globalfinance.co.uk,+44-20-7946-0960,Risk Assessment,GlobalFinance Corp,Risk,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,robert.s@globalfinance.co.uk,0.0,0.0,,+44-20-7946-0960,,True,email_match_0,Other,0.0
Sophia Patel,Trading Specialist,sophia.patel@globalfinance.co.uk,+44-20-7946-0961,Trading Operations,GlobalFinance Corp,Trading,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sophia.patel@globalfinance.co.uk,0.0,0.0,,+44-20-7946-0961,,True,email_match_0,Other,0.0
Oliver James,Client Relations Manager,oliver.james@globalfinance.co.uk,+44-20-7946-0962,Client Management,GlobalFinance Corp,Sales,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,oliver.james@globalfinance.co.uk,0.0,0.0,,+44-20-7946-0962,,True,email_match_0,Other,0.0
Klaus Mueller,Managing Director,klaus.mueller@ecoenergy.de,+49-30-555-0101,Executive Leadership,EcoEnergy Systems,Management,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,klaus.mueller@ecoenergy.de,0.0,0.0,,+49-30-555-0101,,True,email_match_0,Other,0.0
Heike Schmidt,Solar Systems Engineer,heike.schmidt@ecoenergy.de,+49-30-555-0102,Engineering,EcoEnergy Systems,Engineering,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,heike.schmidt@ecoenergy.de,0.0,0.0,,+49-30-555-0102,,True,email_match_0,Other,0.0
Stefan Weber,Project Manager,stefan.weber@ecoenergy.de,+49-30-555-0103,Project Management,EcoEnergy Systems,Operations,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,stefan.weber@ecoenergy.de,0.0,0.0,,+49-30-555-0103,,True,email_match_0,Other,0.0
Anna Fischer,Environmental Consultant,anna.fischer@ecoenergy.de,+49-30-555-0104,Consulting,EcoEnergy Systems,Consulting,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,anna.fischer@ecoenergy.de,0.0,0.0,,+49-30-555-0104,,True,email_match_0,Other,0.0
Thomas Hoffmann,Business Development Manager,thomas.h@ecoenergy.de,+49-30-555-0105,Sales & Marketing,EcoEnergy Systems,Business Development,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,thomas.h@ecoenergy.de,0.0,0.0,,+49-30-555-0105,,True,email_match_0,Other,0.0
Alexandra Morris,Chief Information Security Officer,alexandra.morris@securenet.ca,+1-416-555-0101,Executive Leadership,SecureNet Industries,Security,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,alexandra.morris@securenet.ca,0.0,0.0,,+1-416-555-0101,,True,email_match_0,Other,0.0
Marcus Campbell,Security Operations Center Manager,marcus.c@securenet.ca,+1-416-555-0102,Security Operations,SecureNet Industries,Security,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,marcus.c@securenet.ca,0.0,0.0,,+1-416-555-0102,,True,email_match_0,Other,0.0
Jennifer Wong,Penetration Testing Specialist,jennifer.wong@securenet.ca,+1-416-555-0103,Security Testing,SecureNet Industries,Security,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,jennifer.wong@securenet.ca,0.0,0.0,,+1-416-555-0103,,True,email_match_0,Other,0.0
Daniel Kim,Network Security Engineer,daniel.kim@securenet.ca,+1-416-555-0104,Engineering,SecureNet Industries,Engineering,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,daniel.kim@securenet.ca,0.0,0.0,,+1-416-555-0104,,True,email_match_0,Other,0.0
Lisa Anderson,Security Compliance Officer,lisa.anderson@securenet.ca,+1-416-555-0105,Compliance,SecureNet Industries,Compliance,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,lisa.anderson@securenet.ca,0.0,0.0,,+1-416-555-0105,,True,email_match_0,Other,0.0
Priya Sharma,Chief Technology Officer,priya.sharma@innovatelabs.sg,+65-6555-0101,Executive Leadership,InnovateLabs Inc,Technology,Singapore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,priya.sharma@innovatelabs.sg,0.0,0.0,,+65-6555-0101,,True,email_match_0,Other,0.0
Rajesh Kumar,Machine Learning Engineer,rajesh.kumar@innovatelabs.sg,+65-6555-0102,AI/ML Development,InnovateLabs Inc,Research,Singapore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,rajesh.kumar@innovatelabs.sg,0.0,0.0,,+65-6555-0102,,True,email_match_0,Other,0.0
Mei Lin,Data Scientist,mei.lin@innovatelabs.sg,+65-6555-0103,Data Science,InnovateLabs Inc,Research,Singapore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,mei.lin@innovatelabs.sg,0.0,0.0,,+65-6555-0103,,True,email_match_0,Other,0.0
Arun Desai,Natural Language Processing Specialist,arun.desai@innovatelabs.sg,+65-6555-0104,AI Research,InnovateLabs Inc,Research,Singapore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,arun.desai@innovatelabs.sg,0.0,0.0,,+65-6555-0104,,True,email_match_0,Other,0.0
Natasha Volkov,AI Ethics Officer,natasha.v@innovatelabs.sg,+65-6555-0105,Governance,InnovateLabs Inc,Governance,Singapore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,natasha.v@innovatelabs.sg,0.0,0.0,,+65-6555-0105,,True,email_match_0,Other,0.0
Patrick O'Brien,Chief Executive Officer,patrick.obrien@greenbuild.au,+61-2-555-0101,Executive Leadership,GreenBuild Construction,Management,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,patrick.obrien@greenbuild.au,0.0,0.0,,+61-2-555-0101,,True,email_match_0,Other,0.0
Rebecca Martinez,Director of Sustainable Design,rebecca.m@greenbuild.au,+61-2-555-0102,Design,GreenBuild Construction,Design,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,rebecca.m@greenbuild.au,0.0,0.0,,+61-2-555-0102,,True,email_match_0,Other,0.0
Nicholas Thompson,Construction Project Manager,nicholas.t@greenbuild.au,+61-2-555-0103,Project Management,GreenBuild Construction,Operations,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,nicholas.t@greenbuild.au,0.0,0.0,,+61-2-555-0103,,True,email_match_0,Other,0.0
Angela Wright,Environmental Compliance Manager,angela.wright@greenbuild.au,+61-2-555-0104,Compliance,GreenBuild Construction,Compliance,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,angela.wright@greenbuild.au,0.0,0.0,,+61-2-555-0104,,True,email_match_0,Other,0.0
Christopher Bell,Head of Engineering,christopher.bell@greenbuild.au,+61-2-555-0105,Engineering,GreenBuild Construction,Engineering,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,christopher.bell@greenbuild.au,0.0,0.0,,+61-2-555-0105,,True,email_match_0,Other,0.0
Vikram Singh,Founder & Chief Executive Officer,vikram.singh@datadrive.in,+91-80-555-0101,Executive Leadership,DataDrive Analytics,Management,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,vikram.singh@datadrive.in,0.0,0.0,,+91-80-555-0101,,True,email_match_0,Other,0.0
Anjali Gupta,Senior Data Analyst,anjali.gupta@datadrive.in,+91-80-555-0102,Data Analysis,DataDrive Analytics,Analytics,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,anjali.gupta@datadrive.in,0.0,0.0,,+91-80-555-0102,,True,email_match_0,Other,0.0
Ravi Kumar,Business Intelligence Developer,ravi.kumar@datadrive.in,+91-80-555-0103,BI Development,DataDrive Analytics,Engineering,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,ravi.kumar@datadrive.in,0.0,0.0,,+91-80-555-0103,,True,email_match_0,Other,0.0
Deepika Nair,Analytics Solutions Architect,deepika.nair@datadrive.in,+91-80-555-0104,Architecture,DataDrive Analytics,Engineering,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,deepika.nair@datadrive.in,0.0,0.0,,+91-80-555-0104,,True,email_match_0,Other,0.0
Suresh Patel,Sales Executive,suresh.patel@datadrive.in,+91-80-555-0105,Sales,DataDrive Analytics,Sales,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,suresh.patel@datadrive.in,0.0,0.0,,+91-80-555-0105,,True,email_match_0,Other,0.0
Ingrid Bergström,Chief Science Officer,ingrid.bergstrom@quantumtech.se,+46-8-555-0101,Executive Leadership,QuantumTech Research,Research,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,ingrid.bergstrom@quantumtech.se,0.0,0.0,,+46-8-555-0101,,True,email_match_0,Other,0.0
Per Lindström,Quantum Algorithm Researcher,per.lindstrom@quantumtech.se,+46-8-555-0102,Research,QuantumTech Research,Research,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,per.lindstrom@quantumtech.se,0.0,0.0,,+46-8-555-0102,,True,email_match_0,Other,0.0
Elin Johansson,Quantum Hardware Engineer,elin.johansson@quantumtech.se,+46-8-555-0103,Engineering,QuantumTech Research,Engineering,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,elin.johansson@quantumtech.se,0.0,0.0,,+46-8-555-0103,,True,email_match_0,Other,0.0
Fredrik Ström,Software Developer - Quantum,fredrik.strom@quantumtech.se,+46-8-555-0104,Software Development,QuantumTech Research,Engineering,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,fredrik.strom@quantumtech.se,0.0,0.0,,+46-8-555-0104,,True,email_match_0,Other,0.0
Matilda Larsson,Research Administrator,matilda.larsson@quantumtech.se,+46-8-555-0105,Administration,QuantumTech Research,Administration,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,matilda.larsson@quantumtech.se,0.0,0.0,,+46-8-555-0105,,True,email_match_0,Other,0.0
Yuki Tanaka,President,yuki.tanaka@cloudscale.jp,+81-3-5555-0101,Executive Leadership,CloudScale Enterprises,Management,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,yuki.tanaka@cloudscale.jp,0.0,0.0,,+81-3-5555-0101,,True,email_match_0,Other,0.0
Kenji Yamamoto,VP of Cloud Infrastructure,kenji.yamamoto@cloudscale.jp,+81-3-5555-0102,Technical Leadership,CloudScale Enterprises,Engineering,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,kenji.yamamoto@cloudscale.jp,0.0,0.0,,+81-3-5555-0102,,True,email_match_0,Other,0.0
Sakura Nakamura,Cloud Solutions Architect,sakura.nakamura@cloudscale.jp,+81-3-5555-0103,Architecture,CloudScale Enterprises,Engineering,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sakura.nakamura@cloudscale.jp,0.0,0.0,,+81-3-5555-0103,,True,email_match_0,Other,0.0
Hiroshi Suzuki,Infrastructure Engineer,hiroshi.suzuki@cloudscale.jp,+81-3-5555-0104,Engineering,CloudScale Enterprises,Engineering,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,hiroshi.suzuki@cloudscale.jp,0.0,0.0,,+81-3-5555-0104,,True,email_match_0,Other,0.0
Tomoe Watanabe,Customer Success Manager,tomoe.watanabe@cloudscale.jp,+81-3-5555-0105,Customer Success,CloudScale Enterprises,Sales,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,tomoe.watanabe@cloudscale.jp,0.0,0.0,,+81-3-5555-0105,,True,email_match_0,Other,0.0
Elena Rossi,Chief Executive Officer,elena.rossi@blockchainavault.ch,+41-44-555-0101,Executive Leadership,BlockchainVault Ltd,Management,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,elena.rossi@blockchainavault.ch,0.0,0.0,,+41-44-555-0101,,True,email_match_0,Other,0.0
Marco Bianchi,Blockchain Developer,marco.bianchi@blockchainavault.ch,+41-44-555-0102,Software Development,BlockchainVault Ltd,Engineering,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,marco.bianchi@blockchainavault.ch,0.0,0.0,,+41-44-555-0102,,True,email_match_0,Other,0.0
Sophia Romano,Smart Contract Auditor,sophia.romano@blockchainavault.ch,+41-44-555-0103,Security,BlockchainVault Ltd,Security,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sophia.romano@blockchainavault.ch,0.0,0.0,,+41-44-555-0103,,True,email_match_0,Other,0.0
Antonio Colombo,DeFi Protocol Specialist,antonio.colombo@blockchainavault.ch,+41-44-555-0104,Development,BlockchainVault Ltd,Engineering,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,antonio.colombo@blockchainavault.ch,0.0,0.0,,+41-44-555-0104,,True,email_match_0,Other,0.0
Giulia Ferrari,Regulatory Affairs Manager,giulia.ferrari@blockchainavault.ch,+41-44-555-0105,Compliance,BlockchainVault Ltd,Compliance,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,giulia.ferrari@blockchainavault.ch,0.0,0.0,,+41-44-555-0105,,True,email_match_0,Other,0.0
