company_name,website,country,industry,size,Annual_Revenue_USD,Primary_Domain,Founded_Year,Headquarters_City,person_name,email,phone,job_title,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Isabelle Lefevre,Penetration Tester,isabelle.lefevre@securelink.fr,+33-1-4555-1303,Security Testing,SecureLink Security,Security,Paris,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,isabelle.lefevre@securelink.fr,0.0,0.0,,+33-1-4555-1303,,True,email_match_0,Other,0.0
Michel Bernard,Network Administrator,michel.bernard@securelink.fr,+33-1-4555-1304,Network Management,SecureLink Security,Operations,Paris,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,michel.bernard@securelink.fr,0.0,0.0,,+33-1-4555-1304,,True,email_match_0,Other,0.0
Anne Rousseau,Compliance Officer,anne.rousseau@securelink.fr,+33-1-4555-1305,Compliance,SecureLink Security,Compliance,Paris,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,anne.rousseau@securelink.fr,0.0,0.0,,+33-1-4555-1305,,True,email_match_0,Other,0.0
Rajesh Kumar,Chief Executive Officer,rajesh.kumar@innovatepro.in,+91-80-555-1401,Executive Leadership,InnovatePro Tech,Management,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,rajesh.kumar@innovatepro.in,0.0,0.0,,+91-80-555-1401,,True,email_match_0,Other,0.0
Priya Singh,Machine Learning Engineer,priya.singh@innovatepro.in,+91-80-555-1402,AI/ML Development,InnovatePro Tech,Research,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,priya.singh@innovatepro.in,0.0,0.0,,+91-80-555-1402,,True,email_match_0,Other,0.0
Amit Patel,Data Scientist,amit.patel@innovatepro.in,+91-80-555-1403,Data Science,InnovatePro Tech,Research,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,amit.patel@innovatepro.in,0.0,0.0,,+91-80-555-1403,,True,email_match_0,Other,0.0
Neha Sharma,AI Researcher,neha.sharma@innovatepro.in,+91-80-555-1404,Research,InnovatePro Tech,Research,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,neha.sharma@innovatepro.in,0.0,0.0,,+91-80-555-1404,,True,email_match_0,Other,0.0
Arjun Desai,Product Lead,arjun.desai@innovatepro.in,+91-80-555-1405,Product Management,InnovatePro Tech,Product,Bangalore,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,arjun.desai@innovatepro.in,0.0,0.0,,+91-80-555-1405,,True,email_match_0,Other,0.0
Gregory Thompson,Founder & CEO,gregory.thompson@greenwave.au,+61-2-555-1501,Executive Leadership,GreenWave Energy,Management,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,gregory.thompson@greenwave.au,0.0,0.0,,+61-2-555-1501,,True,email_match_0,Other,0.0
Michelle Harris,Solar Engineer,michelle.harris@greenwave.au,+61-2-555-1502,Engineering,GreenWave Energy,Engineering,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,michelle.harris@greenwave.au,0.0,0.0,,+61-2-555-1502,,True,email_match_0,Other,0.0
Andrew Jackson,Operations Manager,andrew.jackson@greenwave.au,+61-2-555-1503,Operations,GreenWave Energy,Operations,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,andrew.jackson@greenwave.au,0.0,0.0,,+61-2-555-1503,,True,email_match_0,Other,0.0
Victoria King,Environmental Specialist,victoria.king@greenwave.au,+61-2-555-1504,Environmental,GreenWave Energy,Consulting,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,victoria.king@greenwave.au,0.0,0.0,,+61-2-555-1504,,True,email_match_0,Other,0.0
William Green,Business Development Manager,william.green@greenwave.au,+61-2-555-1505,Business Development,GreenWave Energy,Sales,Sydney,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,william.green@greenwave.au,0.0,0.0,,+61-2-555-1505,,True,email_match_0,Other,0.0
Ingrid Bergstrom,Chief Science Officer,ingrid.bergstrom@quantumdrive.se,+46-8-555-1601,Executive Leadership,QuantumDrive Systems,Research,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,ingrid.bergstrom@quantumdrive.se,0.0,0.0,,+46-8-555-1601,,True,email_match_0,Other,0.0
Erik Svensson,Quantum Researcher,erik.svensson@quantumdrive.se,+46-8-555-1602,Research,QuantumDrive Systems,Research,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,erik.svensson@quantumdrive.se,0.0,0.0,,+46-8-555-1602,,True,email_match_0,Other,0.0
Karin Lindberg,Hardware Engineer,karin.lindberg@quantumdrive.se,+46-8-555-1603,Engineering,QuantumDrive Systems,Engineering,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,karin.lindberg@quantumdrive.se,0.0,0.0,,+46-8-555-1603,,True,email_match_0,Other,0.0
Anders Nilsson,Software Developer,anders.nilsson@quantumdrive.se,+46-8-555-1604,Development,QuantumDrive Systems,Engineering,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,anders.nilsson@quantumdrive.se,0.0,0.0,,+46-8-555-1604,,True,email_match_0,Other,0.0
Sofia Eklund,Project Coordinator,sofia.eklund@quantumdrive.se,+46-8-555-1605,Administration,QuantumDrive Systems,Administration,Stockholm,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sofia.eklund@quantumdrive.se,0.0,0.0,,+46-8-555-1605,,True,email_match_0,Other,0.0
Elena Rossi,Chief Executive Officer,elena.rossi@blockchaindyn.ch,+41-44-555-1701,Executive Leadership,BlockChain Dynamics,Management,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,elena.rossi@blockchaindyn.ch,0.0,0.0,,+41-44-555-1701,,True,email_match_0,Other,0.0
Marco Bianchi,Blockchain Developer,marco.bianchi@blockchaindyn.ch,+41-44-555-1702,Development,BlockChain Dynamics,Engineering,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,marco.bianchi@blockchaindyn.ch,0.0,0.0,,+41-44-555-1702,,True,email_match_0,Other,0.0
Sophia Romano,Smart Contract Engineer,sophia.romano@blockchaindyn.ch,+41-44-555-1703,Development,BlockChain Dynamics,Engineering,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sophia.romano@blockchaindyn.ch,0.0,0.0,,+41-44-555-1703,,True,email_match_0,Other,0.0
Giovanni Russo,Security Auditor,giovanni.russo@blockchaindyn.ch,+41-44-555-1704,Security,BlockChain Dynamics,Security,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,giovanni.russo@blockchaindyn.ch,0.0,0.0,,+41-44-555-1704,,True,email_match_0,Other,0.0
Giulia Ferrari,Compliance Manager,giulia.ferrari@blockchaindyn.ch,+41-44-555-1705,Compliance,BlockChain Dynamics,Compliance,Zurich,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,giulia.ferrari@blockchaindyn.ch,0.0,0.0,,+41-44-555-1705,,True,email_match_0,Other,0.0
Hiroshi Tanaka,President,hiroshi.tanaka@venturelabs.jp,+81-3-5555-1801,Executive Leadership,VentureLabs Japan,Management,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,hiroshi.tanaka@venturelabs.jp,0.0,0.0,,+81-3-5555-1801,,True,email_match_0,Other,0.0
Yuki Yamamoto,VP of Hardware Development,yuki.yamamoto@venturelabs.jp,+81-3-5555-1802,Technical Leadership,VentureLabs Japan,Engineering,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,yuki.yamamoto@venturelabs.jp,0.0,0.0,,+81-3-5555-1802,,True,email_match_0,Other,0.0
Sakura Nakamura,IoT Solutions Engineer,sakura.nakamura@venturelabs.jp,+81-3-5555-1803,Engineering,VentureLabs Japan,Engineering,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sakura.nakamura@venturelabs.jp,0.0,0.0,,+81-3-5555-1803,,True,email_match_0,Other,0.0
Kenji Suzuki,Firmware Engineer,kenji.suzuki@venturelabs.jp,+81-3-5555-1804,Engineering,VentureLabs Japan,Engineering,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,kenji.suzuki@venturelabs.jp,0.0,0.0,,+81-3-5555-1804,,True,email_match_0,Other,0.0
Tomoe Watanabe,Customer Success Manager,tomoe.watanabe@venturelabs.jp,+81-3-5555-1805,Customer Success,VentureLabs Japan,Sales,Tokyo,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,tomoe.watanabe@venturelabs.jp,0.0,0.0,,+81-3-5555-1805,,True,email_match_0,Other,0.0
