C_Name,website,country,industry,size,Revenue (Billion USD),Employees,Founded Year,P_name,email,phone,job_title,Department,company_name,Role Function,Employee ID,Status,person_name,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Microsoft,microsoft.com,United States,Software & IT Services,Enterprise,261.8,220000.0,1975.0,Scott Taylor,scott.taylor6643@mail.com,+81 424-241-9348,Legal Advisor,Infrastructure,Pfizer,Consulting,EMP01011,Inactive,,missing_person_name,True,scott.taylor6643@mail.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Technology,+814242419348,False,fuzzy_10,Legal,0.95
Alphabet (Google),alphabet.com,United States,Technology,Enterprise,350.0,183323.0,1998.0,Elizabeth Murphy,elizabeth.murphy2721@email.com,+91 810-165-7304,Chief Operating Officer,Sales,Bank of America,Executive Leadership,EMP01012,Inactive,,missing_person_name,True,elizabeth.murphy2721@email.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Technology,+918101657304,False,fuzzy_11,Management,0.95
Meta,meta.com,United States,Social Media & Technology,Enterprise,134.9,67317.0,2004.0,Raymond Robinson,raymond.robinson288@work.com,+44 898-649-5371,UI/UX Designer,Research & Development,Sony,Design,EMP01013,Active,,missing_person_name,True,raymond.robinson288@work.com,United States,0.0,0.0,Phone Formatting,Social Media & Technology,+448986495371,False,fuzzy_12,Other,0.0
Intel,intel.com,United States,Semiconductors,Enterprise,77.9,123000.0,1968.0,Thomas Jackson,thomas.jackson4415@gmail.com,+1-800 980-282-9317,Quality Assurance Manager,Operations,Procter & Gamble,Middle Management,EMP01014,Active,,missing_person_name,True,thomas.jackson4415@gmail.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Semiconductors,+18009802829317,False,fuzzy_13,Management,0.95
IBM,ibm.com,United States,IT Services & Cloud,Enterprise,73.6,280000.0,1911.0,Alexander Martin,alexander.martin2604@yahoo.com,+81 980-265-9837,Assistant,Data Science,Uber,Operations,EMP01015,On Leave,,missing_person_name,True,alexander.martin2604@yahoo.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Technology,+819802659837,False,fuzzy_14,Admin,0.95
Cisco Systems,cisco.com,United States,Networking Hardware,Enterprise,56.5,82000.0,1984.0,James Phillips,james.phillips6047@gmail.com,+86 445-159-4946,Product Manager,Engineering,Amazon,Middle Management,EMP01016,On Leave,,missing_person_name,True,james.phillips6047@gmail.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Networking Hardware,+864451594946,False,fuzzy_15,Management,0.95
Oracle,oracle.com,United States,Software,Enterprise,50.2,158000.0,1977.0,Richard Garcia,richard.garcia8827@gmail.com,+33 331-775-8787,Technical Support Specialist,Engineering,Broadcom,Customer Support,EMP01017,On Leave,,missing_person_name,True,richard.garcia8827@gmail.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Technology,+333317758787,True,fuzzy_8,Other,0.0
Adobe,adobe.com,United States,Software,Large,19.9,28000.0,1982.0,Nancy Taylor,nancy.taylor8935@yahoo.com,+49 930-419-7537,UI/UX Designer,Design,Pfizer,Design,EMP01018,Active,,missing_person_name,True,nancy.taylor8935@yahoo.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Technology,+499304197537,True,fuzzy_10,Other,0.0
Salesforce,salesforce.com,United States,Cloud Software,Large,36.9,80000.0,1999.0,Nicholas Mason,nicholas.mason3781@yahoo.com,+44 546-121-4770,UI/UX Designer,Product,JPMorgan Chase,Design,EMP01019,On Leave,,missing_person_name,True,nicholas.mason3781@yahoo.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Technology,+445461214770,False,fuzzy_18,Other,0.0
SAP,sap.com,Germany,Enterprise Software,Enterprise,34.0,108000.0,1972.0,Steven Smith,steven.smith614@gmail.com,+81 272-626-4899,Chief Marketing Officer,Finance,Adobe,Executive Leadership,EMP01020,Active,,missing_person_name,True,steven.smith614@gmail.com,Germany,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Technology,+812726264899,False,fuzzy_19,Marketing,0.95
Toyota Motor,toyota.com,Japan,Automotive,Enterprise,315.1,383853.0,1937.0,Andrea Young,andrea.young9455@email.com,+1-888 684-348-8749,Senior Developer,Security,Goldman Sachs,Technical,EMP01021,Inactive,,missing_person_name,True,andrea.young9455@email.com,Japan,0.0,0.0,Phone Formatting;Role Function Mapping,Automotive,+18886843488749,False,fuzzy_20,Engineering,0.95
Volkswagen Group,volkswagen.com,Germany,Automotive,Enterprise,351.1,646501.0,1937.0,Mark Miller,mark.miller6835@company.com,+61 946-155-2612,President,Strategic Planning,Shell,Executive Leadership,EMP01022,Active,,missing_person_name,True,mark.miller6835@company.com,Germany,0.0,0.0,Phone Formatting;Role Function Mapping,Automotive,+619461552612,False,fuzzy_21,Management,0.95
Mercedes-Benz,mercedes-benz.com,Germany,Automotive,Large,175.8,180000.0,1886.0,Rebecca Morris,rebecca.morris3216@yahoo.com,+1-800 659-243-7912,Project Manager,Sales,Salesforce,Middle Management,EMP01023,Active,,missing_person_name,True,rebecca.morris3216@yahoo.com,Germany,0.0,0.0,Phone Formatting;Role Function Mapping,Automotive,+18006592437912,True,fuzzy_0,Management,0.95
BMW,bmw.com,Germany,Automotive,Large,112.8,149000.0,1916.0,Donna Robinson,donna.robinson9116@work.com,+44 251-767-9856,Data Scientist,Marketing,Nestlé,Analysis,EMP01024,Active,,missing_person_name,True,donna.robinson9116@work.com,Germany,0.0,0.0,Phone Formatting;Role Function Mapping,Automotive,+442517679856,False,fuzzy_23,RND,0.95
Ford Motor,ford.com,United States,Automotive,Enterprise,127.1,177000.0,1903.0,Elizabeth Ortiz,elizabeth.ortiz8056@company.com,+61 418-985-7570,Consultant,Compliance,Oracle,Consulting,EMP01025,Active,,missing_person_name,True,elizabeth.ortiz8056@company.com,United States,0.0,0.0,Phone Formatting,Automotive,+614189857570,True,fuzzy_6,Other,0.0
General Motors,gm.com,United States,Automotive,Enterprise,122.5,180000.0,1908.0,Nancy Harris,nancy.harris7554@work.com,+86 633-813-8973,Chief Executive Officer,Business Development,SAP,Executive Leadership,EMP01026,Active,,missing_person_name,True,nancy.harris7554@work.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Automotive,+866338138973,False,,Management,0.95
Honda Motor,honda.com,Japan,Automotive,Large,124.2,215000.0,1948.0,Mark Jackson,mark.jackson8983@email.com,+1 965-421-1936,Senior Developer,Finance,Booking.com,Technical,EMP01027,Active,,missing_person_name,True,mark.jackson8983@email.com,Japan,0.0,0.0,Phone Formatting;Role Function Mapping,Automotive,+19654211936,False,fuzzy_26,Engineering,0.95
Nissan Motor,nissan.com,Japan,Automotive,Large,74.2,130000.0,1933.0,Samuel Walker,samuel.walker8420@gmail.com,+44 390-170-2113,Graphic Designer,Data Science,Oracle,Design,EMP01028,Active,,missing_person_name,True,samuel.walker8420@gmail.com,Japan,0.0,0.0,Phone Formatting,Automotive,+443901702113,True,fuzzy_6,Other,0.0
Hyundai Motor,hyundai.com,South Korea,Automotive,Large,88.2,122000.0,1967.0,Rebecca Davis,rebecca.davis751@mail.com,+1-888 283-529-9565,Database Administrator,Compliance,Booking.com,Analysis,EMP01029,Active,,missing_person_name,True,rebecca.davis751@mail.com,South Korea,0.0,0.0,Phone Formatting;Role Function Mapping,Automotive,+18882835299565,True,fuzzy_26,Admin,0.95
Tesla,tesla.com,United States,Electric Vehicles,Large,81.5,128000.0,2003.0,Kimberly Wilson,kimberly.wilson6584@outlook.com,+33 887-760-5915,Recruiter,Customer Success,Salesforce,Human Resources,EMP01030,Inactive,,missing_person_name,True,kimberly.wilson6584@outlook.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Electric Vehicles,+338877605915,True,fuzzy_0,HR,0.95
JPMorgan Chase,jpmorganchase.com,United States,Banking & Finance,Enterprise,278.9,317233.0,1799.0,Brian Ortiz,brian.ortiz9324@company.com,+44 275-650-4492,Consultant,Marketing,Walmart,Consulting,EMP01031,On Leave,,missing_person_name,True,brian.ortiz9324@company.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Financial Services,+442756504492,False,fuzzy_30,Other,0.0
Bank of America,bofa.com,United States,Banking,Enterprise,196.5,210000.0,1874.0,Kimberly Rodriguez,kimberly.rodriguez6154@yahoo.com,+86 361-548-9900,Sales Manager,Marketing,Airbus,Middle Management,EMP01032,Active,,missing_person_name,True,kimberly.rodriguez6154@yahoo.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Financial Services,+863615489900,False,,Sales,0.95
Industrial and Commercial Bank of China,icbc.com.cn,China,Banking,Enterprise,222.0,450000.0,2005.0,Gregory Morgan,gregory.morgan9186@email.com,+86 879-206-3200,HR Specialist,Data Science,Walmart,Human Resources,EMP01033,Active,,missing_person_name,True,gregory.morgan9186@email.com,China,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Financial Services,+868792063200,True,fuzzy_30,HR,0.95
China Construction Bank,ccb.com,China,Banking,Enterprise,196.7,360000.0,1954.0,Thomas Gomez,thomas.gomez4716@outlook.com,+1-888 415-834-6617,President,Security,Bank of America,Executive Leadership,EMP01034,Active,,missing_person_name,True,thomas.gomez4716@outlook.com,China,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Financial Services,+18884158346617,True,fuzzy_11,Management,0.95
Goldman Sachs,goldmansachs.com,United States,Investment Banking,Large,120.1,43700.0,1869.0,Cheryl Parker,cheryl.parker932@outlook.com,+44 849-533-5533,Data Analyst,Data Science,LVMH,Analysis,EMP01035,Active,,missing_person_name,True,cheryl.parker932@outlook.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Financial Services,+448495335533,False,,Other,0.0
Wells Fargo,wellsfargo.com,United States,Banking,Large,124.0,200000.0,1852.0,James Perez,james.perez2747@outlook.com,+61 764-822-8007,Strategist,Human Resources,Twitter,Operations,EMP01036,On Leave,,missing_person_name,True,james.perez2747@outlook.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Financial Services,+617648228007,False,fuzzy_35,Other,0.0
Citigroup,citigroup.com,United States,Banking & Finance,Large,116.4,190000.0,1998.0,Mary Davis,mary.davis6149@gmail.com,+1-888 765-251-8041,Chief Marketing Officer,Human Resources,Samsung,Executive Leadership,EMP01037,Active,,missing_person_name,True,mary.davis6149@gmail.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Financial Services,+18887652518041,True,fuzzy_4,Marketing,0.95
HSBC,hsbc.com,United Kingdom,Banking,Enterprise,145.2,234000.0,1865.0,Jennifer Martin,jennifer.martin3541@outlook.com,+49 882-205-6794,Marketing Manager,Finance,Boeing,Middle Management,EMP01038,On Leave,,missing_person_name,True,jennifer.martin3541@outlook.com,United Kingdom,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Financial Services,+498822056794,False,fuzzy_37,Marketing,0.95
Agricultural Bank of China,abchina.com,China,Banking,Enterprise,198.0,450000.0,1979.0,Ryan Campbell,ryan.campbell2762@work.com,+33 622-125-3938,Legal Advisor,Human Resources,Salesforce,Consulting,EMP01039,Active,,missing_person_name,True,ryan.campbell2762@work.com,China,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Financial Services,+336221253938,True,fuzzy_0,Legal,0.95
Bank of China,boc.cn,China,Banking,Enterprise,177.1,320000.0,1912.0,Ryan Morgan,ryan.morgan1871@yahoo.com,+91 239-979-8711,Recruiter,Compliance,Toyota,Human Resources,EMP01040,Active,,missing_person_name,True,ryan.morgan1871@yahoo.com,China,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Financial Services,+912399798711,True,fuzzy_2,HR,0.95
ExxonMobil,exxonmobil.com,United States,Oil & Gas,Enterprise,349.6,60900.0,1870.0,Betty Peterson,betty.peterson3828@work.com,+49 224-775-4164,Sales Representative,Support,BMW,Sales,EMP01041,Inactive,,missing_person_name,True,betty.peterson3828@work.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Oil & Gas,+492247754164,False,fuzzy_40,Sales,0.95
Shell,shell.com,United Kingdom,Oil & Gas,Enterprise,289.0,96000.0,1907.0,George Moore,george.moore8446@email.com,+91 895-963-9785,Chief Marketing Officer,Research & Development,Shell,Executive Leadership,EMP01042,Active,,missing_person_name,True,george.moore8446@email.com,United Kingdom,0.0,0.0,Phone Formatting;Role Function Mapping,Oil & Gas,+918959639785,True,fuzzy_21,Marketing,0.95
Enel,enel.com,Italy,Renewable Energy,Large,74.0,74000.0,1962.0,Patricia Davis,patricia.davis726@outlook.com,+44 810-544-6663,Data Analyst,Operations,Booking.com,Analysis,EMP01043,Active,,missing_person_name,True,patricia.davis726@outlook.com,Italy,0.0,0.0,Phone Formatting,Renewable Energy,+448105446663,True,fuzzy_26,Other,0.0
Duke Energy,duke-energy.com,United States,Utilities,Large,61.0,68000.0,1904.0,Brenda Phillips,brenda.phillips3214@mail.com,+86 245-825-8144,Graphic Designer,Sales,BP,Design,EMP01044,Active,,missing_person_name,True,brenda.phillips3214@mail.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Technology,+862458258144,False,fuzzy_43,Other,0.0
American Electric Power,aep.com,United States,Utilities,Large,52.0,24500.0,1906.0,Justin Ortiz,justin.ortiz3328@email.com,+81 641-171-6409,Coordinator,Security,Netflix,Operations,EMP01045,On Leave,,missing_person_name,True,justin.ortiz3328@email.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Technology,+816411716409,False,fuzzy_44,Other,0.0
NextEra Energy,nexteraenergy.com,United States,Renewable Energy,Large,59.5,45000.0,1925.0,Brian Edwards,brian.edwards6791@outlook.com,+81 612-813-5844,Vice President,Quality Assurance,Alibaba,Executive Leadership,EMP01046,On Leave,,missing_person_name,True,brian.edwards6791@outlook.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Renewable Energy,+816128135844,False,fuzzy_45,Management,0.95
Equinor,equinor.com,Norway,Oil & Gas,Large,117.9,20000.0,1972.0,Charles Gonzalez,charles.gonzalez2951@email.com,+1-888 782-408-7653,Operations Manager,Business Development,Netflix,Middle Management,EMP01047,On Leave,,missing_person_name,True,charles.gonzalez2951@email.com,Norway,0.0,0.0,Phone Formatting;Role Function Mapping,Oil & Gas,+18887824087653,True,fuzzy_44,Operations,0.95
BP,bp.com,United Kingdom,Oil & Gas,Large,169.5,65000.0,1909.0,James Martin,james.martin9602@work.com,+1-888 870-429-8618,Systems Administrator,Legal,Pfizer,Operations,EMP01048,Inactive,,missing_person_name,True,james.martin9602@work.com,United Kingdom,0.0,0.0,Phone Formatting;Role Function Mapping,Oil & Gas,+18888704298618,True,fuzzy_10,Admin,0.95
TotalEnergies,totalenergies.com,France,Oil & Gas,Enterprise,233.8,101000.0,1924.0,Nicholas Collins,nicholas.collins2880@work.com,+44 490-627-6491,Senior Developer,Data Science,Unilever,Technical,EMP01049,Active,,missing_person_name,True,nicholas.collins2880@work.com,France,0.0,0.0,Phone Formatting;Role Function Mapping,Oil & Gas,+444906276491,False,,Engineering,0.95
Chevron,chevron.com,United States,Oil & Gas,Large,178.1,44400.0,1879.0,Henry Thomas,henry.thomas3362@work.com,+33 225-147-5011,Training Specialist,Quality Assurance,Adobe,Operations,EMP01050,Inactive,,missing_person_name,True,henry.thomas3362@work.com,United States,0.0,0.0,Phone Formatting,Oil & Gas,+332251475011,True,fuzzy_19,Other,0.0
Johnson & Johnson,jnj.com,United States,Pharmaceuticals,Enterprise,94.9,133500.0,1886.0,Gregory Reed,gregory.reed9531@company.com,+49 935-813-7291,Strategist,Marketing,Procter & Gamble,Operations,EMP01051,Inactive,,missing_person_name,True,gregory.reed9531@company.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Healthcare,+499358137291,True,fuzzy_13,Other,0.0
Hoffmann-La Roche,roche.com,Switzerland,Pharmaceuticals,Large,64.3,103000.0,1896.0,Rebecca Thomas,rebecca.thomas1846@work.com,+91 424-280-9486,Director,Technology,Boeing,Senior Management,EMP01052,Inactive,,missing_person_name,True,rebecca.thomas1846@work.com,Switzerland,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Healthcare,+914242809486,True,fuzzy_37,Management,0.95
Sinopharm,sinopharm.com,China,Pharmaceuticals,Large,77.3,180000.0,2003.0,William Scott,william.scott7712@yahoo.com,+1-800 772-709-6198,Data Scientist,Sales,Procter & Gamble,Analysis,EMP01053,Inactive,,missing_person_name,True,william.scott7712@yahoo.com,China,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Healthcare,+18007727096198,True,fuzzy_13,RND,0.95
Pfizer,pfizer.com,United States,Pharmaceuticals,Large,58.5,32000.0,1849.0,Gregory Peterson,gregory.peterson9076@work.com,+61 362-861-8777,Technical Support Specialist,Data Science,Pfizer,Customer Support,EMP01054,Inactive,,missing_person_name,True,gregory.peterson9076@work.com,United States,0.0,0.0,Industry Standardization;Phone Formatting,Healthcare,+613628618777,True,fuzzy_10,Other,0.0
Eli Lilly,lilly.com,United States,Pharmaceuticals,Large,48.6,44000.0,1876.0,Kimberly Murphy,kimberly.murphy8640@work.com,+61 841-344-5499,Data Scientist,Research & Development,Verizon,Analysis,EMP01055,Inactive,,missing_person_name,True,kimberly.murphy8640@work.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Healthcare,+618413445499,False,fuzzy_54,RND,0.95
AbbVie,abbvie.com,United States,Pharmaceuticals,Large,56.3,50000.0,2013.0,Barbara Stewart,barbara.stewart5338@outlook.com,+1-800 282-241-3471,Systems Administrator,Compliance,Toyota,Operations,EMP01056,Active,,missing_person_name,True,barbara.stewart5338@outlook.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Healthcare,+18002822413471,True,fuzzy_2,Admin,0.95
Merck,merck.com,United States,Pharmaceuticals,Large,59.3,73000.0,1668.0,Stephanie Reyes,stephanie.reyes6778@company.com,+81 755-577-7812,Director,Legal,Apple,Senior Management,EMP01057,Active,,missing_person_name,True,stephanie.reyes6778@company.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Healthcare,+817555777812,False,fuzzy_56,Management,0.95
Bristol Myers Squibb,bms.com,United States,Pharmaceuticals,Large,47.2,45000.0,1858.0,Donald Cooper,donald.cooper9669@work.com,+1 983-689-7232,Operations Manager,Business Development,Boeing,Middle Management,EMP01058,Inactive,,missing_person_name,True,donald.cooper9669@work.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Healthcare,+19836897232,True,fuzzy_37,Operations,0.95
Thermo Fisher Scientific,thermofisher.com,United States,Life Sciences,Large,45.5,145000.0,1956.0,James Thompson,james.thompson6965@work.com,+1-800 965-852-9947,Network Engineer,Business Development,AMD,Technical,EMP01059,On Leave,,missing_person_name,True,james.thompson6965@work.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Life Sciences,+18009658529947,False,fuzzy_58,Engineering,0.95
Danaher,danaher.com,United States,Conglomerate,Large,34.3,68000.0,1969.0,Steven Young,steven.young575@company.com,+91 544-784-7624,Software Developer,Research & Development,Pfizer,Technical,EMP01060,Active,,missing_person_name,True,steven.young575@company.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Conglomerate,+915447847624,True,fuzzy_10,Engineering,0.95
Nestlé,nestle.com,Switzerland,Food & Beverage,Enterprise,89.9,291000.0,1866.0,Catherine Russell,catherine.russell6555@gmail.com,+1-888 777-778-1444,Senior Director,Design,Samsung,Senior Management,EMP01061,Active,,missing_person_name,True,catherine.russell6555@gmail.com,Switzerland,0.0,0.0,Phone Formatting;Role Function Mapping,Food & Beverage,+18887777781444,True,fuzzy_4,Management,0.95
Procter & Gamble,pg.com,United States,Consumer Goods,Enterprise,71.0,111000.0,1837.0,Jack Ramirez,jack.ramirez4362@gmail.com,+91 535-316-8449,Senior Director,Product,Cisco,Senior Management,EMP01062,Active,,missing_person_name,True,jack.ramirez4362@gmail.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Consumer Goods,+915353168449,False,fuzzy_61,Management,0.95
PepsiCo,pepsico.com,United States,Food & Beverage,Enterprise,70.4,320000.0,1893.0,Maria Murphy,maria.murphy7006@work.com,+86 283-581-1317,HR Manager,Research & Development,AT&T,Middle Management,EMP01063,On Leave,,missing_person_name,True,maria.murphy7006@work.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Food & Beverage,+862835811317,False,fuzzy_62,HR,0.95
Anheuser-Busch InBev,ab-inbev.com,Belgium,Beverages,Enterprise,52.3,170000.0,1366.0,William Thompson,william.thompson759@email.com,+1 453-304-1333,Software Developer,Marketing,Verizon,Technical,EMP01064,On Leave,,missing_person_name,True,william.thompson759@email.com,Belgium,0.0,0.0,Phone Formatting;Role Function Mapping,Beverages,+14533041333,True,fuzzy_54,Engineering,0.95
Mondelēz International,mondelez.com,United States,Food,Large,33.7,85000.0,1903.0,Karen Thomas,karen.thomas9340@gmail.com,+49 676-816-5198,Senior Director,Engineering,Pinterest,Senior Management,EMP01065,Active,,missing_person_name,True,karen.thomas9340@gmail.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Food,+496768165198,True,fuzzy_5,Management,0.95
General Mills,generalmills.com,United States,Food,Large,21.3,40000.0,1928.0,Nancy Phillips,nancy.phillips2783@work.com,+86 310-692-1420,Business Developer,Sales,Verizon,Technical,EMP01066,Active,,missing_person_name,True,nancy.phillips2783@work.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Food,+863106921420,True,fuzzy_54,Engineering,0.95
Unilever,unilever.com,United Kingdom,Consumer Goods,Enterprise,57.8,130000.0,1930.0,Christina Collins,christina.collins1345@yahoo.com,+1-888 907-950-4978,HR Manager,Business Development,Warner Bros,Middle Management,EMP01067,Active,,missing_person_name,True,christina.collins1345@yahoo.com,United Kingdom,0.0,0.0,Phone Formatting;Role Function Mapping,Consumer Goods,+18889079504978,False,fuzzy_66,HR,0.95
Colgate-Palmolive,colgatepalmolive.com,United States,Consumer Goods,Large,19.0,29000.0,1806.0,Cynthia Rogers,cynthia.rogers9372@gmail.com,+1 555-645-8018,Network Engineer,Design,Qualcomm,Technical,EMP01068,Active,,missing_person_name,True,cynthia.rogers9372@gmail.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Consumer Goods,+15556458018,False,fuzzy_67,Engineering,0.95
Coca-Cola,coca-cola.com,United States,Beverages,Enterprise,46.2,200000.0,1886.0,David Allen,david.allen6982@work.com,+61 308-543-6934,HR Specialist,Customer Success,Walmart,Human Resources,EMP01069,Inactive,,missing_person_name,True,david.allen6982@work.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Beverages,+613085436934,True,fuzzy_30,HR,0.95
Henkel,henkel.com,Germany,Consumer Goods,Large,23.3,51000.0,1876.0,Aaron Martinez,aaron.martinez4525@mail.com,+1-888 751-893-8921,Quality Assurance Manager,Operations,Paramount,Middle Management,EMP01070,Inactive,,missing_person_name,True,aaron.martinez4525@mail.com,Germany,0.0,0.0,Phone Formatting;Role Function Mapping,Consumer Goods,+18887518938921,False,,Management,0.95
