person_name,email,phone,job_title,Department,company_name,Role Function,Employee ID,Status,website,country,industry,size,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Scott Taylor,scott.taylor6643@mail.com,+81 424-241-9348,Legal Advisor,Infrastructure,Pfizer,Consulting,EMP01011,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,scott.taylor6643@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+814242419348,False,,Legal,0.95
Elizabeth Murphy,elizabeth.murphy2721@email.com,+91 810-165-7304,Chief Operating Officer,Sales,Bank of America,Executive Leadership,EMP01012,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,elizabeth.murphy2721@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping; AI: Inferred Industry,Financial Services,+918101657304,False,,Management,0.95
Raymond Robinson,raymond.robinson288@work.com,+44 898-649-5371,UI/UX Designer,Research & Development,Sony,Design,EMP01013,Active,,,,,missing_industry;missing_company_size;missing_country,True,raymond.robinson288@work.com,,0.0,0.0,Phone Formatting,,+448986495371,False,,Other,0.0
Thomas Jackson,thomas.jackson4415@gmail.com,+1-800 980-282-9317,Quality Assurance Manager,Operations,Procter & Gamble,Middle Management,EMP01014,Active,,,,,missing_industry;missing_company_size;missing_country,True,thomas.jackson4415@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18009802829317,False,,Management,0.95
Alexander Martin,alexander.martin2604@yahoo.com,+81 980-265-9837,Assistant,Data Science,Uber,Operations,EMP01015,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,alexander.martin2604@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+819802659837,False,,Admin,0.95
James Phillips,james.phillips6047@gmail.com,+86 445-159-4946,Product Manager,Engineering,Amazon,Middle Management,EMP01016,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,james.phillips6047@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+864451594946,False,,Management,0.95
Richard Garcia,richard.garcia8827@gmail.com,+33 331-775-8787,Technical Support Specialist,Engineering,Broadcom,Customer Support,EMP01017,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,richard.garcia8827@gmail.com,,0.0,0.0,Phone Formatting,,+333317758787,False,,Other,0.0
Nancy Taylor,nancy.taylor8935@yahoo.com,+49 930-419-7537,UI/UX Designer,Design,Pfizer,Design,EMP01018,Active,,,,,missing_industry;missing_company_size;missing_country,True,nancy.taylor8935@yahoo.com,,0.0,0.0,Phone Formatting,,+499304197537,False,,Other,0.0
Nicholas Mason,nicholas.mason3781@yahoo.com,+44 546-121-4770,UI/UX Designer,Product,JPMorgan Chase,Design,EMP01019,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,nicholas.mason3781@yahoo.com,,0.0,0.0,Phone Formatting,,+445461214770,False,,Other,0.0
Steven Smith,steven.smith614@gmail.com,+81 272-626-4899,Chief Marketing Officer,Finance,Adobe,Executive Leadership,EMP01020,Active,,,,,missing_industry;missing_company_size;missing_country,True,steven.smith614@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+812726264899,False,,Marketing,0.95
Andrea Young,andrea.young9455@email.com,+1-888 684-348-8749,Senior Developer,Security,Goldman Sachs,Technical,EMP01021,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,andrea.young9455@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18886843488749,False,,Engineering,0.95
Mark Miller,mark.miller6835@company.com,+61 946-155-2612,President,Strategic Planning,Shell,Executive Leadership,EMP01022,Active,,,,,missing_industry;missing_company_size;missing_country,True,mark.miller6835@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+619461552612,False,,Management,0.95
Rebecca Morris,rebecca.morris3216@yahoo.com,+1-800 659-243-7912,Project Manager,Sales,Salesforce,Middle Management,EMP01023,Active,,,,,missing_industry;missing_company_size;missing_country,True,rebecca.morris3216@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18006592437912,False,,Management,0.95
Donna Robinson,donna.robinson9116@work.com,+44 251-767-9856,Data Scientist,Marketing,Nestlé,Analysis,EMP01024,Active,,,,,missing_industry;missing_company_size;missing_country,True,donna.robinson9116@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+442517679856,False,,RND,0.95
Elizabeth Ortiz,elizabeth.ortiz8056@company.com,+61 418-985-7570,Consultant,Compliance,Oracle,Consulting,EMP01025,Active,,,,,missing_industry;missing_company_size;missing_country,True,elizabeth.ortiz8056@company.com,,0.0,0.0,Phone Formatting,,+614189857570,False,,Other,0.0
Nancy Harris,nancy.harris7554@work.com,+86 633-813-8973,Chief Executive Officer,Business Development,SAP,Executive Leadership,EMP01026,Active,,,,,missing_industry;missing_company_size;missing_country,True,nancy.harris7554@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+866338138973,False,,Management,0.95
Mark Jackson,mark.jackson8983@email.com,+1 965-421-1936,Senior Developer,Finance,Booking.com,Technical,EMP01027,Active,,,,,missing_industry;missing_company_size;missing_country,True,mark.jackson8983@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+19654211936,False,,Engineering,0.95
Samuel Walker,samuel.walker8420@gmail.com,+44 390-170-2113,Graphic Designer,Data Science,Oracle,Design,EMP01028,Active,,,,,missing_industry;missing_company_size;missing_country,True,samuel.walker8420@gmail.com,,0.0,0.0,Phone Formatting,,+443901702113,False,,Other,0.0
Rebecca Davis,rebecca.davis751@mail.com,+1-888 283-529-9565,Database Administrator,Compliance,Booking.com,Analysis,EMP01029,Active,,,,,missing_industry;missing_company_size;missing_country,True,rebecca.davis751@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18882835299565,False,,Admin,0.95
Kimberly Wilson,kimberly.wilson6584@outlook.com,+33 887-760-5915,Recruiter,Customer Success,Salesforce,Human Resources,EMP01030,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,kimberly.wilson6584@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+338877605915,False,,HR,0.95
Brian Ortiz,brian.ortiz9324@company.com,+44 275-650-4492,Consultant,Marketing,Walmart,Consulting,EMP01031,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,brian.ortiz9324@company.com,,0.0,0.0,Phone Formatting,,+442756504492,False,,Other,0.0
Kimberly Rodriguez,kimberly.rodriguez6154@yahoo.com,+86 361-548-9900,Sales Manager,Marketing,Airbus,Middle Management,EMP01032,Active,,,,,missing_industry;missing_company_size;missing_country,True,kimberly.rodriguez6154@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+863615489900,False,,Sales,0.95
Gregory Morgan,gregory.morgan9186@email.com,+86 879-206-3200,HR Specialist,Data Science,Walmart,Human Resources,EMP01033,Active,,,,,missing_industry;missing_company_size;missing_country,True,gregory.morgan9186@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+868792063200,False,,HR,0.95
Thomas Gomez,thomas.gomez4716@outlook.com,+1-888 415-834-6617,President,Security,Bank of America,Executive Leadership,EMP01034,Active,,,,,missing_industry;missing_company_size;missing_country,True,thomas.gomez4716@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping; AI: Inferred Industry,Financial Services,+18884158346617,False,,Management,0.95
Cheryl Parker,cheryl.parker932@outlook.com,+44 849-533-5533,Data Analyst,Data Science,LVMH,Analysis,EMP01035,Active,,,,,missing_industry;missing_company_size;missing_country,True,cheryl.parker932@outlook.com,,0.0,0.0,Phone Formatting,,+448495335533,False,,Other,0.0
James Perez,james.perez2747@outlook.com,+61 764-822-8007,Strategist,Human Resources,Twitter,Operations,EMP01036,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,james.perez2747@outlook.com,,0.0,0.0,Phone Formatting,,+617648228007,False,,Other,0.0
Mary Davis,mary.davis6149@gmail.com,+1-888 765-251-8041,Chief Marketing Officer,Human Resources,Samsung,Executive Leadership,EMP01037,Active,,,,,missing_industry;missing_company_size;missing_country,True,mary.davis6149@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18887652518041,False,,Marketing,0.95
Jennifer Martin,jennifer.martin3541@outlook.com,+49 882-205-6794,Marketing Manager,Finance,Boeing,Middle Management,EMP01038,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,jennifer.martin3541@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+498822056794,False,,Marketing,0.95
Ryan Campbell,ryan.campbell2762@work.com,+33 622-125-3938,Legal Advisor,Human Resources,Salesforce,Consulting,EMP01039,Active,,,,,missing_industry;missing_company_size;missing_country,True,ryan.campbell2762@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+336221253938,False,,Legal,0.95
Ryan Morgan,ryan.morgan1871@yahoo.com,+91 239-979-8711,Recruiter,Compliance,Toyota,Human Resources,EMP01040,Active,,,,,missing_industry;missing_company_size;missing_country,True,ryan.morgan1871@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+912399798711,False,,HR,0.95
Betty Peterson,betty.peterson3828@work.com,+49 224-775-4164,Sales Representative,Support,BMW,Sales,EMP01041,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,betty.peterson3828@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+492247754164,False,,Sales,0.95
George Moore,george.moore8446@email.com,+91 895-963-9785,Chief Marketing Officer,Research & Development,Shell,Executive Leadership,EMP01042,Active,,,,,missing_industry;missing_company_size;missing_country,True,george.moore8446@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+918959639785,False,,Marketing,0.95
Patricia Davis,patricia.davis726@outlook.com,+44 810-544-6663,Data Analyst,Operations,Booking.com,Analysis,EMP01043,Active,,,,,missing_industry;missing_company_size;missing_country,True,patricia.davis726@outlook.com,,0.0,0.0,Phone Formatting,,+448105446663,False,,Other,0.0
Brenda Phillips,brenda.phillips3214@mail.com,+86 245-825-8144,Graphic Designer,Sales,BP,Design,EMP01044,Active,,,,,missing_industry;missing_company_size;missing_country,True,brenda.phillips3214@mail.com,,0.0,0.0,Phone Formatting,,+862458258144,False,,Other,0.0
Justin Ortiz,justin.ortiz3328@email.com,+81 641-171-6409,Coordinator,Security,Netflix,Operations,EMP01045,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,justin.ortiz3328@email.com,,0.0,0.0,Phone Formatting,,+816411716409,False,,Other,0.0
Brian Edwards,brian.edwards6791@outlook.com,+81 612-813-5844,Vice President,Quality Assurance,Alibaba,Executive Leadership,EMP01046,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,brian.edwards6791@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+816128135844,False,,Management,0.95
Charles Gonzalez,charles.gonzalez2951@email.com,+1-888 782-408-7653,Operations Manager,Business Development,Netflix,Middle Management,EMP01047,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,charles.gonzalez2951@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18887824087653,False,,Operations,0.95
James Martin,james.martin9602@work.com,+1-888 870-429-8618,Systems Administrator,Legal,Pfizer,Operations,EMP01048,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,james.martin9602@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18888704298618,False,,Admin,0.95
Nicholas Collins,nicholas.collins2880@work.com,+44 490-627-6491,Senior Developer,Data Science,Unilever,Technical,EMP01049,Active,,,,,missing_industry;missing_company_size;missing_country,True,nicholas.collins2880@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+444906276491,False,,Engineering,0.95
Henry Thomas,henry.thomas3362@work.com,+33 225-147-5011,Training Specialist,Quality Assurance,Adobe,Operations,EMP01050,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,henry.thomas3362@work.com,,0.0,0.0,Phone Formatting,,+332251475011,False,,Other,0.0
Gregory Reed,gregory.reed9531@company.com,+49 935-813-7291,Strategist,Marketing,Procter & Gamble,Operations,EMP01051,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,gregory.reed9531@company.com,,0.0,0.0,Phone Formatting,,+499358137291,False,,Other,0.0
Rebecca Thomas,rebecca.thomas1846@work.com,+91 424-280-9486,Director,Technology,Boeing,Senior Management,EMP01052,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,rebecca.thomas1846@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+914242809486,False,,Management,0.95
William Scott,william.scott7712@yahoo.com,+1-800 772-709-6198,Data Scientist,Sales,Procter & Gamble,Analysis,EMP01053,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,william.scott7712@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18007727096198,False,,RND,0.95
Gregory Peterson,gregory.peterson9076@work.com,+61 362-861-8777,Technical Support Specialist,Data Science,Pfizer,Customer Support,EMP01054,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,gregory.peterson9076@work.com,,0.0,0.0,Phone Formatting,,+613628618777,False,,Other,0.0
Kimberly Murphy,kimberly.murphy8640@work.com,+61 841-344-5499,Data Scientist,Research & Development,Verizon,Analysis,EMP01055,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,kimberly.murphy8640@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+618413445499,False,,RND,0.95
Barbara Stewart,barbara.stewart5338@outlook.com,+1-800 282-241-3471,Systems Administrator,Compliance,Toyota,Operations,EMP01056,Active,,,,,missing_industry;missing_company_size;missing_country,True,barbara.stewart5338@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18002822413471,False,,Admin,0.95
Stephanie Reyes,stephanie.reyes6778@company.com,+81 755-577-7812,Director,Legal,Apple,Senior Management,EMP01057,Active,,,,,missing_industry;missing_company_size;missing_country,True,stephanie.reyes6778@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+817555777812,False,,Management,0.95
Donald Cooper,donald.cooper9669@work.com,+1 983-689-7232,Operations Manager,Business Development,Boeing,Middle Management,EMP01058,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,donald.cooper9669@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+19836897232,False,,Operations,0.95
James Thompson,james.thompson6965@work.com,+1-800 965-852-9947,Network Engineer,Business Development,AMD,Technical,EMP01059,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,james.thompson6965@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18009658529947,False,,Engineering,0.95
Steven Young,steven.young575@company.com,+91 544-784-7624,Software Developer,Research & Development,Pfizer,Technical,EMP01060,Active,,,,,missing_industry;missing_company_size;missing_country,True,steven.young575@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+915447847624,False,,Engineering,0.95
Catherine Russell,catherine.russell6555@gmail.com,+1-888 777-778-1444,Senior Director,Design,Samsung,Senior Management,EMP01061,Active,,,,,missing_industry;missing_company_size;missing_country,True,catherine.russell6555@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18887777781444,False,,Management,0.95
Jack Ramirez,jack.ramirez4362@gmail.com,+91 535-316-8449,Senior Director,Product,Cisco,Senior Management,EMP01062,Active,,,,,missing_industry;missing_company_size;missing_country,True,jack.ramirez4362@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+915353168449,False,,Management,0.95
Maria Murphy,maria.murphy7006@work.com,+86 283-581-1317,HR Manager,Research & Development,AT&T,Middle Management,EMP01063,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,maria.murphy7006@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+862835811317,False,,HR,0.95
William Thompson,william.thompson759@email.com,+1 453-304-1333,Software Developer,Marketing,Verizon,Technical,EMP01064,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,william.thompson759@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+14533041333,False,,Engineering,0.95
Karen Thomas,karen.thomas9340@gmail.com,+49 676-816-5198,Senior Director,Engineering,Pinterest,Senior Management,EMP01065,Active,,,,,missing_industry;missing_company_size;missing_country,True,karen.thomas9340@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+496768165198,False,,Management,0.95
Nancy Phillips,nancy.phillips2783@work.com,+86 310-692-1420,Business Developer,Sales,Verizon,Technical,EMP01066,Active,,,,,missing_industry;missing_company_size;missing_country,True,nancy.phillips2783@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+863106921420,False,,Engineering,0.95
Christina Collins,christina.collins1345@yahoo.com,+1-888 907-950-4978,HR Manager,Business Development,Warner Bros,Middle Management,EMP01067,Active,,,,,missing_industry;missing_company_size;missing_country,True,christina.collins1345@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18889079504978,False,,HR,0.95
Cynthia Rogers,cynthia.rogers9372@gmail.com,+1 555-645-8018,Network Engineer,Design,Qualcomm,Technical,EMP01068,Active,,,,,missing_industry;missing_company_size;missing_country,True,cynthia.rogers9372@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+15556458018,False,,Engineering,0.95
David Allen,david.allen6982@work.com,+61 308-543-6934,HR Specialist,Customer Success,Walmart,Human Resources,EMP01069,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,david.allen6982@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+613085436934,False,,HR,0.95
Aaron Martinez,aaron.martinez4525@mail.com,+1-888 751-893-8921,Quality Assurance Manager,Operations,Paramount,Middle Management,EMP01070,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,aaron.martinez4525@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18887518938921,False,,Management,0.95
Brenda Peterson,brenda.peterson4122@outlook.com,+44 485-561-4995,Technical Support Specialist,Infrastructure,Toyota,Customer Support,EMP01071,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,brenda.peterson4122@outlook.com,,0.0,0.0,Phone Formatting,,+444855614995,False,,Other,0.0
Benjamin Campbell,benjamin.campbell8198@gmail.com,+81 386-599-4475,Recruiter,Business Development,Volkswagen,Human Resources,EMP01072,Active,,,,,missing_industry;missing_company_size;missing_country,True,benjamin.campbell8198@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+813865994475,False,,HR,0.95
Kimberly Perez,kimberly.perez9206@outlook.com,+1 729-295-2402,Business Analyst,Design,Disney,Analysis,EMP01073,Active,,,,,missing_industry;missing_company_size;missing_country,True,kimberly.perez9206@outlook.com,,0.0,0.0,Phone Formatting,,+17292952402,False,,Other,0.0
Jose Clark,jose.clark7900@yahoo.com,+61 658-911-1282,Content Writer,Security,AT&T,Operations,EMP01074,Active,,,,,missing_industry;missing_company_size;missing_country,True,jose.clark7900@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+616589111282,False,,Marketing,0.95
Carol Anderson,carol.anderson9628@email.com,+81 684-666-9698,Finance Manager,Compliance,BMW,Middle Management,EMP01075,Active,,,,,missing_industry;missing_company_size;missing_country,True,carol.anderson9628@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+816846669698,False,,Management,0.95
Gary Morales,gary.morales7534@email.com,+86 513-357-4777,DevOps Engineer,Customer Success,Shell,Technical,EMP01076,Active,,,,,missing_industry;missing_company_size;missing_country,True,gary.morales7534@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+865133574777,False,,Engineering,0.95
Jose Gonzalez,jose.gonzalez3133@mail.com,+49 421-856-8933,Product Manager,Sales,Comcast,Middle Management,EMP01077,Active,,,,,missing_industry;missing_company_size;missing_country,True,jose.gonzalez3133@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+494218568933,False,,Management,0.95
Jose Peterson,jose.peterson1747@outlook.com,+49 503-332-6912,Consultant,Data Science,Uber,Consulting,EMP01078,Active,,,,,missing_industry;missing_company_size;missing_country,True,jose.peterson1747@outlook.com,,0.0,0.0,Phone Formatting,,+495033326912,False,,Other,0.0
Kevin Smith,kevin.smith845@outlook.com,+1 766-399-3068,Support Engineer,Security,Goldman Sachs,Technical,EMP01079,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,kevin.smith845@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+17663993068,False,,Engineering,0.95
Susan Bell,susan.bell7943@company.com,+61 548-288-1841,Chief Executive Officer,Infrastructure,Mercedes-Benz,Executive Leadership,EMP01080,Active,,,,,missing_industry;missing_company_size;missing_country,True,susan.bell7943@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+615482881841,False,,Management,0.95
Diane Davis,diane.davis1313@company.com,+1-888 844-802-1878,Administrator,Marketing,TotalEnergies,Operations,EMP01081,Active,,,,,missing_industry;missing_company_size;missing_country,True,diane.davis1313@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18888448021878,False,,Admin,0.95
Karen Morgan,karen.morgan2040@yahoo.com,+1-800 982-526-4697,Database Administrator,Quality Assurance,Meta,Analysis,EMP01082,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,karen.morgan2040@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18009825264697,False,,Admin,0.95
Anthony Lewis,anthony.lewis7125@mail.com,+86 782-735-1986,Account Executive,Quality Assurance,TSMC,Sales,EMP01083,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,anthony.lewis7125@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+867827351986,False,,Management,0.95
Adam Miller,adam.miller4435@yahoo.com,+44 360-345-3847,Consultant,Legal,Twitter,Consulting,EMP01084,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,adam.miller4435@yahoo.com,,0.0,0.0,Phone Formatting,,+443603453847,False,,Other,0.0
Barbara Hernandez,barbara.hernandez9829@email.com,+61 498-133-4792,Chief Executive Officer,Strategic Planning,Nestlé,Executive Leadership,EMP01085,Active,,,,,missing_industry;missing_company_size;missing_country,True,barbara.hernandez9829@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+614981334792,False,,Management,0.95
Aaron Jackson,aaron.jackson3924@email.com,+86 840-703-4241,Customer Success Manager,Product,Apple,Middle Management,EMP01086,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,aaron.jackson3924@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+868407034241,False,,Management,0.95
Thomas Wright,thomas.wright2430@outlook.com,+44 261-269-6039,Software Developer,Human Resources,Lockheed Martin,Technical,EMP01087,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,thomas.wright2430@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+442612696039,False,,Engineering,0.95
Jean Peterson,jean.peterson7779@gmail.com,+86 916-512-5460,Database Administrator,Quality Assurance,Nestlé,Analysis,EMP01088,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,jean.peterson7779@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+869165125460,False,,Admin,0.95
Olivia Young,olivia.young7178@gmail.com,+81 818-356-1423,Account Executive,Marketing,Uber,Sales,EMP01089,Active,,,,,missing_industry;missing_company_size;missing_country,True,olivia.young7178@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+818183561423,False,,Management,0.95
Sandra Collins,sandra.collins4515@gmail.com,+1-888 241-881-3870,Assistant,Infrastructure,Booking.com,Operations,EMP01090,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,sandra.collins4515@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18882418813870,False,,Admin,0.95
Justin Evans,justin.evans7241@mail.com,+61 293-581-6700,Account Executive,Research & Development,Cisco,Sales,EMP01091,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,justin.evans7241@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+612935816700,False,,Management,0.95
George Lee,george.lee5503@yahoo.com,+91 910-607-5722,Recruiter,Sales,AMD,Human Resources,EMP01092,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,george.lee5503@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+919106075722,False,,HR,0.95
Abigail Scott,abigail.scott4235@outlook.com,+81 318-891-7622,Chief Financial Officer,Product,Meta,Executive Leadership,EMP01093,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,abigail.scott4235@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+813188917622,False,,Management,0.95
